GRD -Código,GRD -Descripción
14143,MH ACCIDENTE VASCULAR CEREBRAL CON INFARTO w/MCC
184153,MH INFECCIÓN POR VIRUS DE INMUNODEFICIENCIA HUMANA w/MCC
184153,MH INFECCIÓN POR VIRUS DE INMUNODEFICIENCIA HUMANA w/MCC
184153,MH INFECCIÓN POR VIRUS DE INMUNODEFICIENCIA HUMANA w/MCC
184112,MH INFECCIONES POST OPERATORIAS Y POSTRAUMÁTICAS w/CC
54123,MH INSUFICIENCIA CARDÍACA w/MCC
74133,"MH TRASTORNOS DEL HÍGADO EXCLUYENDO MALIGNIDAD, CIRROSIS O HEPATITIS ALCOHÓLICA w/MCC"
81072,PH PROCEDIMIENTOS DE FUSIÓN ESPINAL EXCLUYENDO LOS DE CORRECCIÓN DE CURVATURA DE LA ESPALDA w/CC
184153,MH INFECCIÓN POR VIRUS DE INMUNODEFICIENCIA HUMANA w/MCC
51133,PH PROCEDIMIENTOS VASCULARES ABDOMINALES COMPLEJOS w/MCC
44213,"MH SÍNTOMAS, SIGNOS Y OTROS DIAGNÓSTICOS DEL APARATO RESPIRATORIO w/MCC"
71102,PH PROCEDIMIENTOS DEL PÁNCREAS E HÍGADO w/CC
174133,MH QUIMIOTERAPIA w/MCC
11103,PH CRANEOTOMÍA w/MCC
184112,MH INFECCIONES POST OPERATORIAS Y POSTRAUMÁTICAS w/CC
174132,MH QUIMIOTERAPIA w/CC
44172,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/CC
174133,MH QUIMIOTERAPIA w/MCC
61102,PH PROCEDIMIENTOS NO COMPLEJOS EN INTESTINO DELGADO Y COLON w/CC
114103,MH MALIGNIDAD EN EL TRACTO URINARIO Y LOS RIÑONES CON FALLA RENAL w/MCC
14242,MH TRAUMA CRANEAL w/CC
44162,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS) w/CC
114143,"MH FALLA, REACCIÓN O COMPLICACIÓN DE DISPOSITIVO EN EL TRACTO URINARIO, INJERTO O TRASPLANTE w/MCC"
214123,MH ENVENENMAIENTO Y EFECTOS TÓXICOS POR DROGAS w/MCC
51203,PH OTROS PROCEDIMIENTOS DEL APARATO CIRCULATORIO w/MCC
11103,PH CRANEOTOMÍA w/MCC
214133,MH COMPLICACIONES DEL TRATAMIENTO w/MCC
31203,"PH OTROS PROCEDIMIENTOS DE OÍDOS, NARIZ, BOCA Y GARGANTA w/MCC"
214133,MH COMPLICACIONES DEL TRATAMIENTO w/MCC
44153,MH INFECCIONES E INFLMAACIONES DEL TRACTO RESPIRATORIO w/MCC
64173,MH OTRAS GASTROENTERITIS Y DOLOR ABDOMINAL w/MCC
31203,"PH OTROS PROCEDIMIENTOS DE OÍDOS, NARIZ, BOCA Y GARGANTA w/MCC"
111113,PH PROCEDIMIENTOS COMPLEJOS DE VEJIGA w/MCC
71103,PH PROCEDIMIENTOS DEL PÁNCREAS E HÍGADO w/MCC
44153,MH INFECCIONES E INFLMAACIONES DEL TRACTO RESPIRATORIO w/MCC
31203,"PH OTROS PROCEDIMIENTOS DE OÍDOS, NARIZ, BOCA Y GARGANTA w/MCC"
64133,"MH DIVERTICULITIS, DIVERTICULOSIS Y ENFERMEDAD INFLAMATORIA DEL COLON w/MCC"
44163,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS) w/MCC
51403,PH PROCEDIMIENTOS CARDIOVASCULARES PERCUTÁNEOS w/MCC
164103,MH AGRANULOCITOSIS w/MCC
74102,MH CIRROSIS Y HEPATITIS ALCOHÓLICA w/CC
31203,"PH OTROS PROCEDIMIENTOS DE OÍDOS, NARIZ, BOCA Y GARGANTA w/MCC"
11103,PH CRANEOTOMÍA w/MCC
31202,"PH OTROS PROCEDIMIENTOS DE OÍDOS, NARIZ, BOCA Y GARGANTA w/CC"
14263,MH OTROS TRASTORNOS DEL SISTEMA NERVIOSO w/MCC
81072,PH PROCEDIMIENTOS DE FUSIÓN ESPINAL EXCLUYENDO LOS DE CORRECCIÓN DE CURVATURA DE LA ESPALDA w/CC
114103,MH MALIGNIDAD EN EL TRACTO URINARIO Y LOS RIÑONES CON FALLA RENAL w/MCC
14182,MH INFECCIONES BACTERIANAS Y TUBERCULOSA DEL SISTEMA NERVIOSO w/CC
14222,MH CONVULSIONES w/CC
64183,MH OTROS DIAGNÓSTICOS DEL SISTEMA DIGESTIVO w/MCC
44173,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/MCC
81603,PH OTROS PROCEDIMIENTOS EN EL APARATO MUSCULO-ESQUELÉTICO Y DE TEJIDO CONJUNTIVO w/MCC
114123,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/MCC
54223,HM CARDIOMIOPATÍA w/MCC
114122,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
34112,MH PÉRDIDA DEL EQUILIBRIO w/CC
71103,PH PROCEDIMIENTOS DEL PÁNCREAS E HÍGADO w/MCC
44193,MH ENFERMEDAD PULMONAR INTERSTICIAL w/MCC
34132,"MH EPIGLOTITIS, OTITIS MEDIA, INFECCIONES DEL TRACTO RESPIRATORIO SUPERIOR Y LARINGOTRAQUEITIS w/CC"
44173,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/MCC
14162,MH ISQUEMIA TRANSITORIA w/CC
184153,MH INFECCIÓN POR VIRUS DE INMUNODEFICIENCIA HUMANA w/MCC
51123,PH PROCEDIMIENTOS VASCULARES TORÁCICOS COMPLEJOS w/MCC
74133,"MH TRASTORNOS DEL HÍGADO EXCLUYENDO MALIGNIDAD, CIRROSIS O HEPATITIS ALCOHÓLICA w/MCC"
51153,PH CATETERISMO CARDÍACO w/MCC
14162,MH ISQUEMIA TRANSITORIA w/CC
44172,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/CC
54123,MH INSUFICIENCIA CARDÍACA w/MCC
184153,MH INFECCIÓN POR VIRUS DE INMUNODEFICIENCIA HUMANA w/MCC
44162,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS) w/CC
114123,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/MCC
11013,PH PROCEDIMIENTOS VASCULARES INTRACRANEALES w/MCC
84163,MH TRASTORNOS EN EL TEJIDO CONJUNTIVO w/MCC
114103,MH MALIGNIDAD EN EL TRACTO URINARIO Y LOS RIÑONES CON FALLA RENAL w/MCC
44133,MH TRAUMA TORÁCICO MAYOR w/MCC
214123,MH ENVENENMAIENTO Y EFECTOS TÓXICOS POR DROGAS w/MCC
74143,MH OTROS TRASTORNOS DEL TRACTO BILIAR w/MCC
44152,MH INFECCIONES E INFLMAACIONES DEL TRACTO RESPIRATORIO w/CC
184153,MH INFECCIÓN POR VIRUS DE INMUNODEFICIENCIA HUMANA w/MCC
114123,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/MCC
14243,MH TRAUMA CRANEAL w/MCC
41301,PH PROCEDIMIENTOS MODERADAMENTECOMPLEJOS DEL APARATO RESPIRATORIO
44193,MH ENFERMEDAD PULMONAR INTERSTICIAL w/MCC
44173,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/MCC
81703,PH PROCEDIMIENTOS EN LA RODILLA Y PIERNA INFERIOR EXCLUYENDO EL PIE w/MCC
31203,"PH OTROS PROCEDIMIENTOS DE OÍDOS, NARIZ, BOCA Y GARGANTA w/MCC"
51133,PH PROCEDIMIENTOS VASCULARES ABDOMINALES COMPLEJOS w/MCC
74143,MH OTROS TRASTORNOS DEL TRACTO BILIAR w/MCC
11102,PH CRANEOTOMÍA w/CC
74103,MH CIRROSIS Y HEPATITIS ALCOHÓLICA w/MCC
51122,PH PROCEDIMIENTOS VASCULARES TORÁCICOS COMPLEJOS w/CC
11302,PH PROCEDIMIENTOS EN LA COLUMNA VERTEBRAL w/CC
14142,MH ACCIDENTE VASCULAR CEREBRAL CON INFARTO w/CC
41103,PH PROCEDIMIENTOS COMPLEJOS DEL APARATO RESPIRATORIO w/MCC
41023,PH VENTILACIÓN MECÁNICA DE LARGO PLAZO SIN TRAQUEOSTOMÍA w/MCC
44153,MH INFECCIONES E INFLMAACIONES DEL TRACTO RESPIRATORIO w/MCC
64172,MH OTRAS GASTROENTERITIS Y DOLOR ABDOMINAL w/CC
41023,PH VENTILACIÓN MECÁNICA DE LARGO PLAZO SIN TRAQUEOSTOMÍA w/MCC
14263,MH OTROS TRASTORNOS DEL SISTEMA NERVIOSO w/MCC
74113,MH MALIGNIDAD EN EL SISTEMA HEPATOBILIAR Y PÁNCREAS w/MCC
61112,PH ADHESIÓLISIS PERITONEAL w/CC
14213,MH ESTUPOR Y COMA NO TRAUMÁTICOS w/MCC
84103,MH FRACTURAS DEL FÉMUR w/MCC
11103,PH CRANEOTOMÍA w/MCC
64122,MH ENFERMEDADES ESOFÁGICAS w/CC
54122,MH INSUFICIENCIA CARDÍACA w/CC
64172,MH OTRAS GASTROENTERITIS Y DOLOR ABDOMINAL w/CC
31203,"PH OTROS PROCEDIMIENTOS DE OÍDOS, NARIZ, BOCA Y GARGANTA w/MCC"
161113,PH PROCEDIMIENTOS EN EL BAZO w/MCC
174113,MH LINFOMA O LEUCEMIA NO AGUDA w/MCC
91302,PH INJERTO DE PIEL SIN QUEMADURAS w/CC
94122,MH CELULITIS w/CC
174103,MH LEUCEMIA AGUDA w/MCC
11013,PH PROCEDIMIENTOS VASCULARES INTRACRANEALES w/MCC
41023,PH VENTILACIÓN MECÁNICA DE LARGO PLAZO SIN TRAQUEOSTOMÍA w/MCC
44123,MH EMBOLIA PULMONAR w/MCC
41202,PH PROCEDIMIENTOS NO COMPLEJOS DEL APARATO RESPIRATORIO w/CC
54123,MH INSUFICIENCIA CARDÍACA w/MCC
14152,MH ACCIDENTE VASCULAR CEREBRAL SIN ESPECIFICAR Y OCLUSIÓN PRECEREBRAL SIN INFARTO w/CC
51153,PH CATETERISMO CARDÍACO w/MCC
161202,PH OTROS PROCEDIMIENTOS DE LA SANGRE Y ÓRGANOS FORMADORES DE SANGRE w/CC
31203,"PH OTROS PROCEDIMIENTOS DE OÍDOS, NARIZ, BOCA Y GARGANTA w/MCC"
71123,PH COLECISTECTOMÍA EXCLUYENDO LAPAROSCÓPICA w/MCC
51403,PH PROCEDIMIENTOS CARDIOVASCULARES PERCUTÁNEOS w/MCC
14243,MH TRAUMA CRANEAL w/MCC
44172,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/CC
61103,PH PROCEDIMIENTOS NO COMPLEJOS EN INTESTINO DELGADO Y COLON w/MCC
31203,"PH OTROS PROCEDIMIENTOS DE OÍDOS, NARIZ, BOCA Y GARGANTA w/MCC"
51402,PH PROCEDIMIENTOS CARDIOVASCULARES PERCUTÁNEOS w/CC
114122,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
71103,PH PROCEDIMIENTOS DEL PÁNCREAS E HÍGADO w/MCC
71123,PH COLECISTECTOMÍA EXCLUYENDO LAPAROSCÓPICA w/MCC
74133,"MH TRASTORNOS DEL HÍGADO EXCLUYENDO MALIGNIDAD, CIRROSIS O HEPATITIS ALCOHÓLICA w/MCC"
31203,"PH OTROS PROCEDIMIENTOS DE OÍDOS, NARIZ, BOCA Y GARGANTA w/MCC"
54123,MH INSUFICIENCIA CARDÍACA w/MCC
91302,PH INJERTO DE PIEL SIN QUEMADURAS w/CC
64163,MH INFECCIONES GASTROINTESTINALES MAYORES w/MCC
34131,"MH EPIGLOTITIS, OTITIS MEDIA, INFECCIONES DEL TRACTO RESPIRATORIO SUPERIOR Y LARINGOTRAQUEITIS"
81022,PH AMPUTACIÓN w/CC
71102,PH PROCEDIMIENTOS DEL PÁNCREAS E HÍGADO w/CC
14223,MH CONVULSIONES w/MCC
114123,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/MCC
54183,MH TRASTORNOS CARDÍACOS Y VALVULARES CONGÉNITOS w/MCC
91303,PH INJERTO DE PIEL SIN QUEMADURAS w/MCC
31203,"PH OTROS PROCEDIMIENTOS DE OÍDOS, NARIZ, BOCA Y GARGANTA w/MCC"
51203,PH OTROS PROCEDIMIENTOS DEL APARATO CIRCULATORIO w/MCC
51203,PH OTROS PROCEDIMIENTOS DEL APARATO CIRCULATORIO w/MCC
64103,MH MALIGNIDAD EN EL TRACTO DIGESTIVO w/MCC
54103,MH INFARTO AGUDO DEL MIOCARDIO w/MCC
31203,"PH OTROS PROCEDIMIENTOS DE OÍDOS, NARIZ, BOCA Y GARGANTA w/MCC"
84173,MH PROBLEMAS MÉDICOS DE LA ESPALDA w/MCC
64173,MH OTRAS GASTROENTERITIS Y DOLOR ABDOMINAL w/MCC
44163,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS) w/MCC
44172,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/CC
54152,MH TRASTORNOS PERÍFERICOS Y OTROS TRASTORNOS VASCULARES w/CC
14163,MH ISQUEMIA TRANSITORIA w/MCC
214122,MH ENVENENMAIENTO Y EFECTOS TÓXICOS POR DROGAS w/CC
44213,"MH SÍNTOMAS, SIGNOS Y OTROS DIAGNÓSTICOS DEL APARATO RESPIRATORIO w/MCC"
74103,MH CIRROSIS Y HEPATITIS ALCOHÓLICA w/MCC
14132,MH HEMORRAGIA INTRACRANEAL NO TRAUMÁTICA w/CC
54103,MH INFARTO AGUDO DEL MIOCARDIO w/MCC
44163,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS) w/MCC
44213,"MH SÍNTOMAS, SIGNOS Y OTROS DIAGNÓSTICOS DEL APARATO RESPIRATORIO w/MCC"
54233,"HM FALLAS, REACCIONES Y COMPLICACIONES DE DISPOSITIVOS O DE PROCEDIMIENTOS CARDIOVASCULARES w/MCC"
14243,MH TRAUMA CRANEAL w/MCC
84182,PA OTRAS ENFERMEDADES DE LOS HUESOS Y ARTICULACIONES w/CC
14212,MH ESTUPOR Y COMA NO TRAUMÁTICOS w/CC
54123,MH INSUFICIENCIA CARDÍACA w/MCC
11012,PH PROCEDIMIENTOS VASCULARES INTRACRANEALES w/CC
54102,MH INFARTO AGUDO DEL MIOCARDIO w/CC
64183,MH OTROS DIAGNÓSTICOS DEL SISTEMA DIGESTIVO w/MCC
164133,MH TRASTORNOS DE LOS GLÓBULOS ROJOS EXCLUYENDO CRISIS POR ANEMIA DREPANOCÍTICA w/MCC
81071,PH PROCEDIMIENTOS DE FUSIÓN ESPINAL EXCLUYENDO LOS DE CORRECCIÓN DE CURVATURA DE LA ESPALDA
54123,MH INSUFICIENCIA CARDÍACA w/MCC
51403,PH PROCEDIMIENTOS CARDIOVASCULARES PERCUTÁNEOS w/MCC
114122,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
64181,MH OTROS DIAGNÓSTICOS DEL SISTEMA DIGESTIVO
44152,MH INFECCIONES E INFLMAACIONES DEL TRACTO RESPIRATORIO w/CC
164132,MH TRASTORNOS DE LOS GLÓBULOS ROJOS EXCLUYENDO CRISIS POR ANEMIA DREPANOCÍTICA w/CC
44172,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/CC
44153,MH INFECCIONES E INFLMAACIONES DEL TRACTO RESPIRATORIO w/MCC
164142,MH OTROS TRASTORNOS DE LA SANGRE Y ÓRGANOS FORMADORES DE SANGRE w/CC
51152,PH CATETERISMO CARDÍACO w/CC
14243,MH TRAUMA CRANEAL w/MCC
44123,MH EMBOLIA PULMONAR w/MCC
44163,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS) w/MCC
54193,MH ARRITMIAS CARDÍACAS Y TRASTORNOS DE CONDUCCIÓN CARDÍACA w/MCC
114122,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
81602,PH OTROS PROCEDIMIENTOS EN EL APARATO MUSCULO-ESQUELÉTICO Y DE TEJIDO CONJUNTIVO w/CC
114122,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
114123,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/MCC
14233,MH MIGRAÑA Y OTRAS CEFALEAS w/MCC
194162,MH ALTERACIONES ORGÁNICAS Y RETRASO MENTAL w/CC
64123,MH ENFERMEDADES ESOFÁGICAS w/MCC
11103,PH CRANEOTOMÍA w/MCC
44152,MH INFECCIONES E INFLMAACIONES DEL TRACTO RESPIRATORIO w/CC
14172,MH TRASTORNOS CRANEALES Y DEL SISTEMA NERVIOSO PERIFÉRICO w/CC
